2025/07/19 02:10:01.049122 [INFO] Log Publish not set, skipping...
2025/07/19 02:30:01.102928 [INFO] Log Publish not set, skipping...
2025/07/19 02:50:01.149746 [INFO] Log Publish not set, skipping...
2025/07/19 03:10:01.363938 [INFO] Log Publish not set, skipping...
2025/07/19 03:30:01.457923 [INFO] Log Publish not set, skipping...
2025/07/19 03:50:01.501017 [INFO] Log Publish not set, skipping...
2025/07/19 04:10:01.849705 [INFO] Log Publish not set, skipping...
2025/07/19 04:30:01.946381 [INFO] Log Publish not set, skipping...
2025/07/19 04:50:02.017892 [INFO] Log Publish not set, skipping...
2025/07/19 05:10:01.131876 [INFO] Log Publish not set, skipping...
2025/07/19 05:30:01.179931 [INFO] Log Publish not set, skipping...
2025/07/19 05:50:01.226887 [INFO] Log Publish not set, skipping...
2025/07/19 06:10:01.380902 [INFO] Log Publish not set, skipping...
2025/07/19 06:30:01.437290 [INFO] Log Publish not set, skipping...
2025/07/19 06:50:01.500933 [INFO] Log Publish not set, skipping...
2025/07/19 07:10:01.685377 [INFO] Log Publish not set, skipping...
2025/07/19 07:30:01.760102 [INFO] Log Publish not set, skipping...
2025/07/19 07:50:01.837375 [INFO] Log Publish not set, skipping...
2025/07/19 08:10:01.052424 [INFO] Log Publish not set, skipping...
2025/07/19 08:30:01.095612 [INFO] Log Publish not set, skipping...
2025/07/19 08:50:01.187680 [INFO] Log Publish not set, skipping...
2025/07/19 09:10:01.362246 [INFO] Log Publish not set, skipping...
2025/07/19 09:30:01.423207 [INFO] Log Publish not set, skipping...
2025/07/19 09:50:01.463815 [INFO] Log Publish not set, skipping...
2025/07/19 10:10:01.609727 [INFO] Log Publish not set, skipping...
2025/07/19 10:30:01.768702 [INFO] Log Publish not set, skipping...
2025/07/19 10:50:01.850536 [INFO] Log Publish not set, skipping...
2025/07/19 11:10:01.067785 [INFO] Log Publish not set, skipping...
2025/07/19 11:30:01.120004 [INFO] Log Publish not set, skipping...
2025/07/19 11:50:01.167279 [INFO] Log Publish not set, skipping...
2025/07/19 12:10:01.298823 [INFO] Log Publish not set, skipping...
2025/07/19 12:30:01.383889 [INFO] Log Publish not set, skipping...
2025/07/19 12:50:01.447419 [INFO] Log Publish not set, skipping...
2025/07/19 13:10:01.613658 [INFO] Log Publish not set, skipping...
2025/07/19 13:30:01.812543 [INFO] Log Publish not set, skipping...
2025/07/19 13:50:01.967382 [INFO] Log Publish not set, skipping...
2025/07/19 14:10:01.145782 [INFO] Log Publish not set, skipping...
2025/07/19 14:30:01.190658 [INFO] Log Publish not set, skipping...
